1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-12 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,IPCA + SPREAD,,,,,,,2024-11-12 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% Pu Par,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.8193,7.5335,7.6643,0.1269,7.5374,7.7912,1013.820803,98.0704,2110.72,0.1,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.6077,7.3104,7.3829,0.1312,7.2517,7.5143,1159.718145,97.689,2018.99,0.35,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,8.9095,0.3094,8.6,9.219,7046.867244,98.8984,165,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",5.5858,5.1862,5.4536,0.2112,5.2425,5.6649,706.647019,100.2404,184.53,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",7.1291,6.7081,6.9239,0.1115,6.8124,7.0355,1006.809364,95.6779,1583.66,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",7.1814,6.8218,7.0157,0.1356,6.8801,7.1514,969.993183,94.7142,1659.75,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",7.046,6.8124,6.8644,0.0874,6.777,6.9518,967.413768,94.458,2297.54,,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",7.5514,7.1801,7.3458,0.123,7.2228,7.4689,1009.489418,95.0601,1593.88,0.45,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.5287,7.231,7.3599,0.2255,7.1344,7.5855,1204.100595,99.1025,410.99,0.05,15/08/2026
AHGD13,ATHON GERACAO DISTRIBUIDA S/A (*),15/09/2041,"IPCA + 7,3293%",7.7318,7.372,7.6015,0.1155,7.486,7.7171,0.998145,98.3888,1604.77,0.15,15/05/2033
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",--,5.0722,5.1771,0.2352,4.9418,5.4124,716.997099,100.1134,83,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.7183,7.2955,7.3937,0.147,7.2467,7.5408,1101.120944,89.6438,1214.03,,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.7018,7.305,7.527,0.0416,7.4854,7.5687,1078.437013,92.4341,1277.62,,15/08/2030
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",7.2847,6.8924,7.139,0.0958,7.0433,7.2349,1020.448372,94.6479,1469.95,0.1,15/08/2032
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.6,7.2803,7.4765,0.098,7.3785,7.5746,1011.445102,93.9074,1460.57,0.1,15/08/2032
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,15/12/2029,"IPCA + 3,65%",7.0649,6.6425,6.8628,0.2098,6.653,7.0726,922.956207,93.1668,575.96,,15/05/2027
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),15/02/2035,IPCA + 4%,7.1244,6.8299,7.0005,0.2456,6.7549,7.2461,901.320972,87.3582,1166.48,,15/08/2030
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),15/04/2036,"IPCA + 6,1305%",7.1581,6.8557,7.0001,0.1862,6.8139,7.1863,970.776059,95.5502,1395.11,0.1,15/08/2032
ANET11,AMERICA NET S.A. (*),15/03/2029,"IPCA + 5,6006%",8.4342,7.9799,8.1856,0.2174,7.9682,8.4031,824.45227,94.9774,532.01,0.05,15/05/2027
ANET12,AMERICA NET S.A. (*),15/11/2030,"IPCA + 8,9619%",8.6924,8.2694,8.5717,0.5638,8.0078,9.1356,1157.908181,101.3009,909.19,0.45,15/05/2029
APFD19,AUTOPISTA FERNAO DIAS S/A (*),15/09/2031,"IPCA + 6,3854%",7.5504,7.2043,7.3664,0.1418,7.2246,7.5082,1075.690167,96.4953,975.5,0.4,15/05/2029
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,15/06/2031,"IPCA + 4,5%",7.5532,7.1878,7.3953,0.0969,7.2984,7.4923,1245.629939,89.128,1048.89,0.35,15/05/2029
ARTR19,ARTERIS S/A (*) (**),15/09/2027,"IPCA + 4,8392%",7.681,7.0762,7.3252,0.2306,7.0946,7.5559,1237.982707,94.9767,553.05,,15/05/2027
ASAB11,ASA BRANCA HOLDING S.A. (*),15/06/2033,"IPCA + 6,25%",9.1623,8.6056,8.9369,0.1518,8.7851,9.0888,906.187249,90.6073,973.93,,15/05/2029
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2030,"IPCA + 7,55%",7.2586,6.9067,7.0677,0.075,6.9927,7.1428,1052.081623,101.3812,770.48,,15/08/2028
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2035,"IPCA + 8,15%",7.4446,7.0226,7.2647,0.1214,7.1433,7.3862,1136.045068,105.2716,1584.38,,15/08/2032
ASER12,AGUAS DO SERTAO S.A. (*),15/12/2043,"IPCA + 8,4051%",8.9463,8.5007,8.638,0.1415,8.4965,8.7795,1078.875776,98.2051,2119.41,0.35,15/05/2035
ASSR21,ASSURUA 5 ENERGIA S.A (*),15/06/2041,"IPCA + 7,1071%",7.9585,7.5563,7.7521,0.147,7.6051,7.8992,1016.03409,96.3202,1553.22,,15/08/2032
ATHT11,ATHON GERACAO DISTRIBUIDA III S.A. (*),15/09/2041,"IPCA + 7,3293%",7.765,7.3721,7.5797,0.1155,7.4642,7.6953,0.999437,98.5162,1605.8,0.15,15/05/2033
ATII12,ATHON GERACAO DISTRIBUIDA II S.A. (*),15/09/2041,"IPCA + 7,3293%",7.736,7.3735,7.5808,0.1159,7.4649,7.6968,0.99937,98.5096,1605.75,0.15,15/05/2033
AURE12,AUREN ENERGIA S.A. (*),15/04/2034,"IPCA + 6,298%",7.3315,7.0097,7.1492,0.0533,7.0959,7.2026,973.686534,94.8869,1650.91,0.5,15/05/2033
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),15/03/2043,"IPCA + 7,7959%",8.1941,7.8414,7.9939,0.1394,7.8545,8.1334,1014.315814,98.3302,2307.95,0.4,15/08/2040
BCPSA5,CLARO S/A,15/03/2029,"IPCA + 5,7687%",7.1133,6.8591,7.0295,0.0479,6.9816,7.0776,988.066189,95.5607,963.99,,15/05/2029
BHSA11,BARREIRAS HOLDING S.A. (*),15/03/2044,"IPCA + 6,8413%",7.6688,7.3952,7.531,0.0912,7.4398,7.6223,1014.224277,94.9894,1986.53,0.45,15/05/2035
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,15/12/2031,"IPCA + 7,1358%",7.1058,6.6839,6.8892,0.1962,6.693,7.0855,1261.133676,100.6806,742.9,0.1,15/08/2028
BRFS31,BRF S/A,30/04/2026,"IPCA + 5,5%",8.4013,6.839,8.3067,2.1192,6.1876,10.426,N/D,N/D,N/D,,15/05/2025
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),15/09/2034,"IPCA + 5,5365%",8.4414,8.0257,8.1852,0.2405,7.9447,8.4258,1124.208764,85.2479,1601.79,,15/05/2033
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,7694%",7.3921,7.0945,7.1889,0.2273,6.9616,7.4163,1220.78482,97.7468,429.14,0.35,15/08/2026
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2036,"IPCA + 8,1891%",8.1381,7.7988,8.1141,0.2826,7.8315,8.3968,1047.809069,100.4927,1787.15,,15/05/2035
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/03/2029,"IPCA + 5,4058%",7.8917,7.545,7.7092,0.2964,7.4128,8.0056,1178.858903,94.0936,706.96,0.05,15/05/2027
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,15/11/2040,"IPCA + 5,4%",7.6054,7.2131,7.4174,0.2447,7.1727,7.6621,1095.061598,88.1144,1630.82,,15/05/2033
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),15/09/2037,"IPCA + 6,85%",7.511,7.0512,7.2945,0.1709,7.1236,7.4655,1050.657953,97.9408,1256.56,,15/08/2030
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 5,8%",6.3962,5.4357,5.779,0.7446,5.0344,6.5237,621.333887,100.0017,22,,
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),15/12/2035,"IPCA + 6,8138%",7.3837,7.0019,7.2139,0.08,7.1339,7.294,11724.407419,98.1808,1233.43,0.35,15/08/2030
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 6,05%",--,--,7.036,0.7183,6.3178,7.7544,622.160186,99.9192,22,,
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2033,"IPCA + 10,3294%",10.0969,9.1931,9.6577,0.3252,9.3326,9.983,1123.942965,102.3765,973.78,,15/05/2029
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,IPCA + 5%,7.4734,7.1599,7.3015,0.0818,7.2197,7.3834,1329.677275,88.9132,1347.79,,15/08/2030
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.4749,7.1866,7.3257,0.1617,7.164,7.4876,1348.870644,89.7801,1341.38,0.05,15/08/2030
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.467,7.1554,7.303,0.082,7.221,7.3851,1350.390471,89.8812,1341.74,,15/08/2030
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.4942,7.2023,7.3759,0.1347,7.2412,7.5108,1345.518237,89.5569,1340.6,0.05,15/08/2030
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),15/01/2031,"IPCA + 6,6739%",--,--,7.9613,0.31,7.6513,8.2715,1126.966505,94.17,1256.45,,15/08/2030
CCRDD1,CCR S/A (*) (**),15/11/2024,IPCA + 6%,--,--,7.2217,0.4154,6.8064,7.6372,739.983927,99.9864,3,,
CCROA5,CCR S/A (*),15/11/2033,"IPCA + 4,8791%",7.1722,6.8111,7.0432,0.1091,6.9341,7.1523,963.430794,88.9587,1416.38,0.05,15/08/2032
CCROB4,CCR S/A (*) (**),15/12/2028,"IPCA + 4,25%",7.0726,6.5588,6.7926,0.186,6.6066,6.9786,1243.85948,95.497,476.01,,15/08/2026
CCROB6,CCR S/A (*),15/01/2036,"IPCA + 6,437%",7.2024,6.9105,7.0433,0.0924,6.9509,7.1358,1125.328041,96.3796,1627.94,0.5,15/05/2033
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,15/06/2030,"IPCA + 6,6605%",7.2974,6.9482,7.1728,0.31,6.8628,7.4828,985.178938,98.7955,635.6,,15/05/2027
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),15/07/2030,"IPCA + 6,5%",7.2882,6.9874,7.1304,0.1004,7.03,7.231,1050.486283,97.4697,1092.55,,15/05/2029
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),15/12/2033,"IPCA + 6,75%",7.411,7.1043,7.2209,0.1139,7.107,7.3349,1041.845291,97.3274,1546.77,,15/08/2032
