1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-11 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,IPCA + SPREAD,,,,,,,2024-11-11 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% Pu Par,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.6854,7.3778,7.4924,0.1178,7.3747,7.6103,1026.97003,99.3947,2121.87,0.4,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.4342,7.0932,7.2743,0.1204,7.1539,7.3948,1168.56785,98.485,2028.24,,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,8.8162,0.264,8.5521,9.0803,7046.748267,98.9476,166,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",5.5564,5.0063,5.3764,0.2292,5.1472,5.6057,706.707579,100.2958,185.53,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.9623,6.6891,6.8157,0.0567,6.759,6.8725,1012.728039,96.2866,1586.27,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",7.0164,6.7571,6.8429,0.1311,6.7118,6.9742,979.886538,95.7261,1663.72,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.9377,6.5737,6.7593,0.0487,6.7106,6.8081,975.651758,95.3082,2303.97,,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",7.4495,7.0008,7.2076,0.0998,7.1078,7.3074,1017.231865,95.8364,1599.26,0.35,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.4661,7.1108,7.2556,0.0917,7.1639,7.3474,1205.383355,99.2579,412.12,0.1,15/08/2026
AHGD13,ATHON GERACAO DISTRIBUIDA S/A (*),15/09/2041,"IPCA + 7,3293%",7.6326,7.2119,7.4333,0.0225,7.4108,7.4559,1.007631,99.3759,1613.75,0.45,15/05/2033
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",7.6846,--,5.4024,0.4617,4.9406,5.8642,716.16849,100.0433,84,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.6409,7.2305,7.3698,0.0683,7.3015,7.4382,1101.723841,89.7321,1215.19,0.05,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.5839,7.149,7.3914,0.0248,7.3666,7.4164,1084.791341,93.0224,1279.82,0.05,15/08/2030
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",7.1701,6.7652,6.9712,0.1718,6.7994,7.1431,1029.314466,95.5161,1476.77,0.35,15/08/2032
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.4713,7.114,7.2967,0.0754,7.2213,7.3722,1020.784659,94.8207,1464.42,0.35,15/08/2032
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,15/12/2029,"IPCA + 3,65%",6.9139,6.4289,6.6797,0.137,6.5426,6.8168,926.121175,93.5223,577.89,,15/05/2027
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),15/02/2035,IPCA + 4%,7.0271,6.81,6.8878,0.0695,6.8183,6.9574,905.273534,87.7762,1169.76,0.05,15/08/2030
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),15/04/2036,"IPCA + 6,1305%",7.0646,6.7287,6.8476,0.0932,6.7544,6.9409,977.987184,96.3061,1399.79,0.35,15/08/2032
ANET11,AMERICA NET S.A. (*),15/03/2029,"IPCA + 5,6006%",8.4057,7.826,8.1064,0.1381,7.9683,8.2446,825.27257,95.1156,533.31,0.1,15/05/2027
ANET12,AMERICA NET S.A. (*),15/11/2030,"IPCA + 8,9619%",8.6215,8.0878,8.4072,0.4562,7.951,8.8636,1163.608273,101.859,911.25,0.35,15/05/2029
APFD19,AUTOPISTA FERNAO DIAS S/A (*),15/09/2031,"IPCA + 6,3854%",7.5481,7.1705,7.3676,0.0399,7.3277,7.4076,1075.079214,96.4877,976.49,0.15,15/05/2029
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,15/06/2031,"IPCA + 4,5%",7.5154,7.1381,7.3098,0.0496,7.2602,7.3595,1249.114389,89.4147,1050.62,,15/05/2029
ARTR19,ARTERIS S/A (*) (**),15/09/2027,"IPCA + 4,8392%",7.5801,7.0422,7.2959,0.1071,7.1889,7.4031,1238.078075,95.0249,554.08,,15/05/2027
ASAB11,ASA BRANCA HOLDING S.A. (*),15/06/2033,"IPCA + 6,25%",9.2041,8.4394,8.8143,0.1593,8.655,8.9738,909.617594,90.9943,976.85,,15/05/2029
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2030,"IPCA + 7,55%",7.1039,6.7901,6.9628,0.0567,6.9062,7.0196,1054.702828,101.6878,772.09,,15/08/2028
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2035,"IPCA + 8,15%",7.2932,6.8791,7.1188,0.096,7.0228,7.2149,1145.227454,106.1812,1588.46,,15/08/2032
ASER12,AGUAS DO SERTAO S.A. (*),15/12/2043,"IPCA + 8,4051%",8.6966,8.3414,8.482,0.0802,8.4017,8.5623,1091.406701,99.4017,2130.25,0.05,15/05/2035
ASSR21,ASSURUA 5 ENERGIA S.A (*),15/06/2041,"IPCA + 7,1071%",7.7409,7.413,7.5986,0.1263,7.4723,7.7249,1024.482377,97.1712,1563.87,,15/08/2032
ATHT11,ATHON GERACAO DISTRIBUIDA III S.A. (*),15/09/2041,"IPCA + 7,3293%",7.6344,7.2134,7.4334,0.0222,7.4112,7.4558,1.007626,99.3754,1613.74,0.45,15/05/2033
ATII12,ATHON GERACAO DISTRIBUIDA II S.A. (*),15/09/2041,"IPCA + 7,3293%",7.6361,7.2148,7.4388,0.0226,7.4162,7.4615,1.007301,99.3434,1613.48,0.5,15/05/2033
AURE12,AUREN ENERGIA S.A. (*),15/04/2034,"IPCA + 6,298%",7.1645,6.8932,7.0274,0.012,7.0154,7.0395,980.471103,95.5944,1654.02,0.45,15/05/2033
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),15/03/2043,"IPCA + 7,7959%",8.0579,7.672,7.8349,0.0969,7.738,7.9318,1027.559643,99.668,2315.92,0.1,15/08/2040
BCPSA5,CLARO S/A,15/03/2029,"IPCA + 5,7687%",7.0621,6.7499,6.9114,0.0152,6.8961,6.9267,991.744763,95.9611,965.3,,15/05/2029
BHSA11,BARREIRAS HOLDING S.A. (*),15/03/2044,"IPCA + 6,8413%",7.5468,7.2302,7.3706,0.0684,7.3022,7.439,1025.728634,96.1154,1999.84,0.35,15/05/2035
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,15/12/2031,"IPCA + 7,1358%",6.9804,6.6799,6.8036,0.0764,6.7272,6.8801,1263.480435,100.9201,744.68,0.35,15/08/2028
BRFS31,BRF S/A,30/04/2026,"IPCA + 5,5%",8.0937,6.941,7.661,1.2853,6.3757,8.9465,N/D,N/D,N/D,,15/05/2025
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),15/09/2034,"IPCA + 5,5365%",8.314,7.8054,8.0443,0.0848,7.9595,8.1292,1132.943727,85.9495,1605.02,,15/05/2033
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,7694%",7.2093,6.9332,7.0872,0.1713,6.9159,7.2586,1222.131452,97.9001,430.38,,15/08/2026
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2036,"IPCA + 8,1891%",8.0258,7.6197,7.9382,0.2625,7.6757,8.2007,1059.42062,101.6627,1794,,15/05/2035
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/03/2029,"IPCA + 5,4058%",7.7634,7.4412,7.6533,0.198,7.4552,7.8514,1179.945226,94.2228,708.09,0.1,15/05/2027
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,15/11/2040,"IPCA + 5,4%",7.4607,7.1836,7.2769,0.082,7.1949,7.3591,1103.820576,88.8593,1638.8,,15/05/2033
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),15/09/2037,"IPCA + 6,85%",7.3968,7.0233,7.1892,0.0766,7.1126,7.2659,1055.273899,98.4209,1260.61,,15/08/2030
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 5,8%",--,--,6.1528,0.1455,6.0073,6.2984,620.844672,99.9696,23,,
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),15/12/2035,"IPCA + 6,8138%",7.2841,6.8754,7.09,0.0613,7.0287,7.1513,11784.953098,98.7376,1236.94,,15/08/2030
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 6,05%",--,--,7.0728,0.5926,6.4802,7.6655,621.821844,99.9124,23,,
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2033,"IPCA + 10,3294%",9.9878,9.1245,9.5582,0.0929,9.4653,9.6512,1127.200657,102.7394,976.14,0.05,15/05/2029
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,IPCA + 5%,7.3836,7.0311,7.2178,0.03,7.1878,7.2479,1334.547881,89.2778,1350.09,,15/08/2030
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3874,7.0581,7.2387,0.0268,7.2119,7.2657,1354.004366,90.1618,1343.74,0.1,15/08/2030
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.369,7.0595,7.2068,0.0515,7.1552,7.2584,1356.154491,90.305,1344.23,,15/08/2030
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3875,7.0595,7.2427,0.0329,7.2098,7.2758,1353.735099,90.1439,1343.67,0.1,15/08/2030
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),15/01/2031,"IPCA + 6,6739%",--,--,--,--,--,--,N/D,N/D,N/D,,15/08/2030
CCRDD1,CCR S/A (*) (**),15/11/2024,IPCA + 6%,7.2162,6.7728,6.84,0.7227,6.1172,7.5628,739.6415,99.9875,4,,
CCROA5,CCR S/A (*),15/11/2033,"IPCA + 4,8791%",7.1109,6.7429,6.9545,0.0722,6.8823,7.0268,967.440687,89.3675,1419.61,0.1,15/08/2032
CCROB4,CCR S/A (*) (**),15/12/2028,"IPCA + 4,25%",6.9362,6.4669,6.6815,0.0887,6.5929,6.7703,1245.686513,95.6763,477.51,,15/08/2026
CCROB6,CCR S/A (*),15/01/2036,"IPCA + 6,437%",7.1214,6.769,6.9067,0.0565,6.8502,6.9633,1134.083761,97.1772,1632.55,0.45,15/05/2033
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,15/06/2030,"IPCA + 6,6605%",7.2323,6.8944,7.0388,0.131,6.9078,7.1699,987.788283,99.1066,637.49,,15/05/2027
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),15/07/2030,"IPCA + 6,5%",7.2386,6.8295,7.0156,0.056,6.9597,7.0717,1054.842127,97.9221,1094.18,,15/05/2029
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),15/12/2033,"IPCA + 6,75%",7.346,7.0014,7.1256,0.0917,7.0339,7.2175,1047.010058,97.859,1549.47,,15/08/2032
