1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-07 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,IPCA + SPREAD,,,,,,,2024-11-07 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% Pu Par,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
ENMTA7,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,15/02/2031,"IPCA + 6,1076%",7.0422,6.7587,6.8935,0.0757,6.8178,6.9692,1011.612709,96.4882,1218.16,,15/08/2030
ENMTB3,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,15/10/2030,"IPCA + 4,4744%",7.0645,6.5488,6.8088,0.2186,6.5902,7.0276,1181.617341,90.7108,1106.75,,15/08/2030
ENMTB5,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,15/04/2032,"IPCA + 6,277%",7.0089,6.8024,6.9027,0.1067,6.7959,7.0095,1073.613427,96.9249,1338.04,,15/08/2030
ENSEA1,ENERGISA SERGIPE - DIST.DE ENERGIA S/A,15/07/2027,"IPCA + 5,736%",7.0789,6.7229,6.8839,0.1903,6.6936,7.0743,1133.06555,97.3791,619.38,0.05,15/05/2027
ENTV12,ENTREVIAS CONCESSIONARIA DE RODOVIAS S.A (*) (**),15/12/2030,"IPCA + 7,75%",7.2811,6.9247,7.102,0.112,6.9901,7.2141,1389.010887,102.1395,886.63,0.1,15/08/2028
EQMAA0,EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A (*),15/12/2031,"IPCA + 6,3%",7.1638,6.8784,6.9847,0.1006,6.8841,7.0855,1034.210356,96.8486,1253.7,,15/08/2030
EQSP11,EQUATORIAL TRANSMISSORA 3 SPE S.A.,15/01/2033,"IPCA + 4,8%",7.1732,6.7752,7.0207,0.129,6.8917,7.1499,1100.479892,92.1835,963.41,,15/05/2029
EQSP21,EQUATORIAL TRANSMISSORA 3 SPE S.A.,15/01/2034,"IPCA + 4,65%",7.0356,6.6938,6.8743,0.2081,6.6663,7.0825,1075.756065,92.1139,963.83,,15/05/2029
EQTC11,EQUATORIAL TRANSMISSORA 5 SPE S.A.,15/04/2039,"IPCA + 4,85%",7.5945,7.2068,7.3233,0.0736,7.2497,7.3969,1125.232214,84.4248,1775.94,,15/05/2033
EQTN11,EQUATORIAL TRANSMISSORA 2 SPE S/A,15/01/2033,"IPCA + 4,85%",7.2381,6.868,7.0431,0.0549,6.9883,7.0981,1159.695859,92.7193,905.46,,15/08/2028
