1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-08 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,IPCA + SPREAD,,,,,,,2024-11-08 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% Pu Par,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.6189,7.3612,7.451,0.0748,7.3761,7.5259,1029.764624,99.7176,2125.32,0.15,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.3352,7.0876,7.2475,0.1938,7.0537,7.4414,1170.312172,98.6827,2031.28,,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,8.757,0.2577,8.4992,9.0148,7045.216275,98.977,167,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",5.384,5.1399,5.3612,0.3422,5.019,5.7035,706.464648,100.3081,186.53,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.944,6.6438,6.7949,0.1054,6.6895,6.9004,1013.459848,96.4025,1587.58,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",6.9774,6.6232,6.7992,0.1438,6.6553,6.9431,982.04239,95.9827,1665.47,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.9054,6.6037,6.7133,0.1113,6.6021,6.8247,979.015412,95.6829,2307.35,0.05,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",7.3707,6.9653,7.1076,0.1007,7.0069,7.2084,1022.753085,96.404,1603.43,0.05,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.4912,6.9703,7.2736,0.4001,6.8735,7.6738,1204.424458,99.2289,413.1,0.35,15/08/2026
AHGD13,ATHON GERACAO DISTRIBUIDA S/A (*),15/09/2041,"IPCA + 7,3293%",7.5845,7.1809,7.4165,0.0519,7.3646,7.4685,1.008115,99.4757,1615.55,0.35,15/05/2033
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",--,5.1258,5.2462,0.1189,5.1273,5.3653,716.20334,100.0939,85,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.5721,7.1034,7.3256,0.0606,7.2651,7.3863,1103.336243,89.9026,1216.5,0.1,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.5485,7.1077,7.3445,0.0338,7.3107,7.3784,1086.631382,93.224,1281.23,0.15,15/08/2030
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",7.2641,6.7099,7.0149,0.3938,6.6211,7.4089,1026.329552,95.2848,1476.25,0.05,15/08/2032
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.4511,7.1121,7.3152,0.0372,7.278,7.3525,1019.229446,94.7222,1465.13,,15/08/2032
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,15/12/2029,"IPCA + 3,65%",6.8976,6.4425,6.7005,0.2312,6.4694,6.9318,925.244387,93.4697,578.79,,15/05/2027
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),15/02/2035,IPCA + 4%,7.0169,6.665,6.853,0.2581,6.5949,7.1112,906.18487,87.8996,1171.47,0.1,15/08/2030
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),15/04/2036,"IPCA + 6,1305%",6.9132,6.686,6.8392,0.1735,6.6658,7.0128,977.920141,96.3456,1400.99,,15/08/2032
ANET11,AMERICA NET S.A. (*),15/03/2029,"IPCA + 5,6006%",8.5723,--,8.118,0.3216,7.7965,8.4397,824.629463,95.0851,534.27,0.4,15/05/2027
ANET12,AMERICA NET S.A. (*),15/11/2030,"IPCA + 8,9619%",8.4993,8.0682,8.4712,0.7184,7.7528,9.1897,1160.471741,101.6437,911.84,0.05,15/05/2029
APFD19,AUTOPISTA FERNAO DIAS S/A (*),15/09/2031,"IPCA + 6,3854%",7.5079,7.0974,7.3084,0.0863,7.2221,7.3947,1076.816868,96.6908,977.96,0.5,15/05/2029
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,15/06/2031,"IPCA + 4,5%",7.5562,7.1726,7.2806,0.296,6.9845,7.5767,1249.880457,89.5069,1051.87,0.05,15/05/2029
ARTR19,ARTERIS S/A (*) (**),15/09/2027,"IPCA + 4,8392%",7.5815,7.0338,7.2192,0.2588,6.9604,7.4782,1239.382512,95.166,555.15,,15/05/2027
ASAB11,ASA BRANCA HOLDING S.A. (*),15/06/2033,"IPCA + 6,25%",8.9413,8.4469,8.7213,0.125,8.5963,8.8464,912.115492,91.2882,979.31,,15/05/2029
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2030,"IPCA + 7,55%",7.0412,6.7775,6.9219,0.2144,6.7076,7.1364,1055.402941,101.8094,773.32,,15/08/2028
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2035,"IPCA + 8,15%",7.1859,6.8467,7.1283,0.5111,6.6172,7.6395,1143.997015,106.1259,1589.26,,15/08/2032
ASER12,AGUAS DO SERTAO S.A. (*),15/12/2043,"IPCA + 8,4051%",8.6334,8.2863,8.4311,0.0696,8.3614,8.5008,1095.130678,99.797,2134.46,0.1,15/05/2035
ASSR21,ASSURUA 5 ENERGIA S.A (*),15/06/2041,"IPCA + 7,1071%",7.7564,7.4277,7.549,0.1487,7.4003,7.6977,1026.874961,97.4483,1568,,15/08/2032
ATHT11,ATHON GERACAO DISTRIBUIDA III S.A. (*),15/09/2041,"IPCA + 7,3293%",7.6072,7.1878,7.4159,0.1042,7.3117,7.5202,1.00815,99.4792,1615.58,0.35,15/05/2033
ATII12,ATHON GERACAO DISTRIBUIDA II S.A. (*),15/09/2041,"IPCA + 7,3293%",7.607,7.1867,7.4261,0.0485,7.3776,7.4747,1.007536,99.4186,1615.09,0.45,15/05/2033
AURE12,AUREN ENERGIA S.A. (*),15/04/2034,"IPCA + 6,298%",7.1407,6.8023,6.9782,0.0664,6.9118,7.0447,982.933483,95.881,1655.88,0.35,15/05/2033
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),15/03/2043,"IPCA + 7,7959%",7.9238,7.6138,7.7892,0.0907,7.6985,7.8799,1031.014787,100.0572,2318.92,0.35,15/08/2040
BCPSA5,CLARO S/A,15/03/2029,"IPCA + 5,7687%",6.9549,6.7224,6.8481,0.0423,6.8058,6.8905,993.495002,96.1752,966.47,,15/05/2029
BHSA11,BARREIRAS HOLDING S.A. (*),15/03/2044,"IPCA + 6,8413%",7.4733,7.1921,7.3682,0.1004,7.2678,7.4687,1025.372254,96.1306,2001.03,,15/05/2035
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,15/12/2031,"IPCA + 7,1358%",7.0722,6.6308,6.7951,0.3174,6.4777,7.1126,1263.141301,100.9451,745.76,0.05,15/08/2028
BRFS31,BRF S/A,30/04/2026,"IPCA + 5,5%",8.0549,7.1692,7.4043,1.2036,6.2008,8.608,N/D,N/D,N/D,,15/05/2025
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),15/09/2034,"IPCA + 5,5365%",8.274,7.784,8.039,0.1369,7.9021,8.176,1132.67506,85.9684,1606.11,,15/05/2033
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,7694%",7.0854,6.8563,7.0529,0.2753,6.7776,7.3283,1222.172938,97.949,431.46,0.05,15/08/2026
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2036,"IPCA + 8,1891%",--,7.6727,7.889,0.3215,7.5675,8.2106,1062.288215,101.9945,1796.63,,15/05/2035
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/03/2029,"IPCA + 5,4058%",7.8663,7.4651,7.5763,0.2393,7.337,7.8156,1181.690711,94.4048,709.27,0.35,15/05/2027
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,15/11/2040,"IPCA + 5,4%",7.4179,6.9588,7.3119,0.4502,6.8617,7.7622,1100.906954,88.6647,1638.06,,15/05/2033
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),15/09/2037,"IPCA + 6,85%",7.2667,6.9197,7.2055,0.4504,6.7551,7.6559,1053.924659,98.3447,1261.14,,15/08/2030
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 5,8%",--,--,6.0228,0.7485,5.2743,6.7714,620.619336,99.98,24,,
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),15/12/2035,"IPCA + 6,8138%",7.3176,6.9427,7.0672,0.1821,6.8851,7.2494,11791.219703,98.8399,1238.4,,15/08/2030
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 6,05%",--,--,7.0993,0.768,6.3314,7.8674,621.487684,99.9063,24,,
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2033,"IPCA + 10,3294%",9.8656,9.0615,9.4522,0.0374,9.4148,9.4897,1130.745818,103.1289,978.59,0.1,15/05/2029
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,IPCA + 5%,7.4282,6.9845,7.1999,0.2279,6.972,7.4279,1335.049678,89.3504,1351.37,0.05,15/08/2030
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3923,7.0095,7.2249,0.1802,7.0448,7.4052,1354.230085,90.2169,1344.95,0.4,15/08/2030
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3577,6.9994,7.231,0.2414,6.9896,7.4724,1353.818992,90.1895,1344.86,,15/08/2030
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3906,6.9954,7.229,0.2328,6.9962,7.4619,1353.953759,90.1984,1344.89,0.35,15/08/2030
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),15/01/2031,"IPCA + 6,6739%",--,--,--,--,--,--,N/D,N/D,N/D,,15/08/2030
CCRDD1,CCR S/A (*) (**),15/11/2024,IPCA + 6%,--,--,7.0373,0.526,6.5113,7.5634,739.24077,99.9807,5,,
CCROA5,CCR S/A (*),15/11/2033,"IPCA + 4,8791%",7.1074,6.7427,6.9512,0.0412,6.91,6.9925,967.116038,89.3761,1420.69,0.35,15/08/2032
CCROB4,CCR S/A (*) (**),15/12/2028,"IPCA + 4,25%",6.8632,6.4374,6.7058,0.1531,6.5527,6.859,1244.526244,95.6262,478.4,,15/08/2026
CCROB6,CCR S/A (*),15/01/2036,"IPCA + 6,437%",7.0613,6.7629,6.8915,0.0946,6.7968,6.9862,1134.553406,97.2651,1633.95,0.35,15/05/2033
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,15/06/2030,"IPCA + 6,6605%",7.3773,6.992,7.0764,0.3377,6.7387,7.4142,986.403971,99.017,638.24,,15/05/2027
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),15/07/2030,"IPCA + 6,5%",7.0927,6.8422,7.0053,0.343,6.6623,7.3484,1054.743476,97.9612,1095.24,,15/05/2029
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),15/12/2033,"IPCA + 6,75%",8.6305,--,7.0863,0.1055,6.9808,7.1919,1048.835705,98.0788,1551.16,0.05,15/08/2032
